1
1  40
0.0000E+00	5.3800E+00	1.0000E+02	;
2.0777E+00	5.3800E+00	1.0000E+02	;
4.8950E+00	5.3800E+00	9.6915E+01	;
5.6056E+00	5.3800E+00	9.5291E+01	;
6.5644E+00	5.5979E+00	9.2664E+01	;
7.7653E+00	5.6317E+00	8.8775E+01	;
9.2020E+00	5.6996E+00	8.3448E+01	;
1.0864E+01	5.8057E+00	7.6689E+01	;
1.2744E+01	5.9470E+00	6.8754E+01	;
1.4829E+01	6.1101E+00	6.0273E+01	;
1.7107E+01	6.2690E+00	5.2291E+01	;
1.9564E+01	6.3866E+00	4.5826E+01	;
2.2185E+01	6.4429E+00	4.0950E+01	;
2.4956E+01	6.4356E+00	3.7343E+01	;
2.7858E+01	6.3672E+00	3.4518E+01	;
3.0875E+01	6.2430E+00	3.2270E+01	;
3.3990E+01	6.0701E+00	3.0488E+01	;
3.7181E+01	5.8590E+00	2.9020E+01	;
4.0431E+01	5.6208E+00	2.7756E+01	;
4.3720E+01	5.3617E+00	2.6693E+01	;
4.7030E+01	5.0876E+00	2.5829E+01	;
5.0339E+01	4.8051E+00	2.5157E+01	;
5.3628E+01	4.5209E+00	2.4665E+01	;
5.6876E+01	4.2413E+00	2.4338E+01	;
6.0065E+01	3.9704E+00	2.4156E+01	;
6.3177E+01	3.7111E+00	2.4100E+01	;
6.6190E+01	3.4660E+00	2.4100E+01	;
6.9089E+01	3.2371E+00	2.4100E+01	;
7.1854E+01	3.0261E+00	2.4100E+01	;
7.4471E+01	2.8334E+00	2.4100E+01	;
7.6923E+01	2.6589E+00	2.4100E+01	;
7.9195E+01	2.5022E+00	2.4100E+01	;
8.1272E+01	2.3540E+00	2.4100E+01	;
8.3145E+01	2.1997E+00	2.4100E+01	;
8.4801E+01	2.0349E+00	2.4100E+01	;
8.6230E+01	1.8609E+00	2.4100E+01	;
8.7423E+01	1.6635E+00	2.4100E+01	;
8.8374E+01	1.4396E+00	2.4100E+01	;
8.9076E+01	1.1826E+00	2.4100E+01	;
8.9720E+01	8.6591E-01	2.4100E+01	;
