0.0000E+00	5.3800E+00	1.0000E+02
2.0777E+00	5.3998E+00	9.9633E+01
4.8950E+00	5.4815E+00	9.5120E+01
5.6056E+00	5.5103E+00	9.3037E+01
6.5644E+00	5.5535E+00	8.9869E+01
7.7653E+00	5.6136E+00	8.6978E+01
9.2020E+00	5.6927E+00	8.3549E+01
1.0864E+01	5.7911E+00	7.6883E+01
1.2744E+01	5.9070E+00	6.9220E+01
1.4829E+01	6.0356E+00	6.1018E+01
1.7107E+01	6.1681E+00	5.3146E+01
1.9564E+01	6.2918E+00	4.6516E+01
2.2185E+01	6.3893E+00	4.1293E+01
2.4956E+01	6.4388E+00	3.7324E+01
2.7858E+01	6.4145E+00	3.4264E+01
3.0875E+01	6.2869E+00	3.2045E+01
3.3990E+01	6.0239E+00	3.0722E+01
3.7181E+01	5.6228E+00	3.0239E+01
4.0431E+01	5.2347E+00	2.9804E+01
4.3720E+01	4.8811E+00	2.9321E+01
4.7030E+01	4.5601E+00	2.8817E+01
5.0339E+01	4.2704E+00	2.8307E+01
5.3628E+01	4.0103E+00	2.7805E+01
5.6876E+01	3.7778E+00	2.7324E+01
6.0065E+01	3.5699E+00	2.6866E+01
6.3177E+01	3.3831E+00	2.6437E+01
6.6190E+01	3.2123E+00	2.6003E+01
6.9089E+01	3.0531E+00	2.5553E+01
7.1854E+01	2.9021E+00	2.5130E+01
7.4471E+01	2.7543E+00	2.4792E+01
7.6923E+01	2.6031E+00	2.4616E+01
7.9195E+01	2.4498E+00	2.4616E+01
8.1272E+01	2.3046E+00	2.4616E+01
8.3145E+01	2.1536E+00	2.4616E+01
8.4801E+01	1.9922E+00	2.4616E+01
8.6230E+01	1.8218E+00	2.4616E+01
8.7423E+01	1.6286E+00	2.4616E+01
8.8374E+01	1.4094E+00	2.4616E+01
