1 number of sets
#1
$1  51
0.000000000000000000e+00 1.236111240038965661e+03 -4.279969237813302692e-03 -3.573973581407832289e-03 1.859352825984180280e+00 1.799460911889726011e+00 -2.945597237564706507e-03 -9.643512227020758013e-03 1.261237767420000076e+10 2.526806621369999886e+09 5.297598388402470881e+00 5.223881304093805689e+00 1.173384910052994456e+01 5.452144532830000001e-01 7.039023117699999554e-01 1.465461767021799311e+00 0.000000000000000000e+00 -4.960826888131368573e-03 -3.292652508845718244e-03
2.054294880000000489e+00 1.238327149749575028e+03 -5.549574691683516713e-03 -3.716929184017764027e-03 1.860091118707128288e+00 1.799203241872536108e+00 -3.647724206064978207e-03 -9.787922038583977274e-03 1.264187641729999924e+10 2.527648248869999886e+09 5.311182063188100599e+00 5.220683000237889893e+00 1.173942520625817920e+01 5.456707508729999878e-01 7.029698211820000209e-01 1.466640459095146287e+00 0.000000000000000000e+00 -6.394544233261014073e-03 -3.363589160406822102e-03
3.814982172000000116e+00 1.249886973360180718e+03 -1.198621889031798067e-02 -5.807843490355602510e-03 1.854876111026268148e+00 1.793938546872114070e+00 -1.627844761079376206e-03 -8.642796832618423325e-03 1.251169505850000000e+10 2.480149313260000229e+09 5.437221833777208246e+00 5.275971290631181532e+00 1.189715321649470958e+01 5.504454699840000131e-01 6.937262793799999772e-01 1.501852155011088596e+00 0.000000000000000000e+00 -6.245595290019612979e-03 -4.191965805356814845e-03
5.575506360000000328e+00 1.217381434512468104e+03 -1.762151191777446002e-02 -5.513599999656978827e-03 1.827477454231890341e+00 1.781535927289181975e+00 6.374593330237212155e-03 5.050485201886907756e-03 1.232125201020000076e+10 2.428219917769999981e+09 5.271541128837374579e+00 5.090853738860920963e+00 1.138300731607057337e+01 5.614342221520000065e-01 6.738861936140000397e-01 1.489089926631963046e+00 0.000000000000000000e+00 -1.638019742347650298e-02 -4.556292461297016191e-03
7.336061130000000041e+00 1.157251122331619399e+03 -1.453581635800878106e-03 -8.390829176546255735e-03 1.769407992131273977e+00 1.754900992038618046e+00 3.810407751721434783e-02 1.132818753234990025e-02 1.144143774639999962e+10 2.208310035219999790e+09 5.149206484584847310e+00 5.006678352491041650e+00 1.082714688809690529e+01 5.700725571139999559e-01 6.403877197220000372e-01 1.530288862148628581e+00 0.000000000000000000e+00 1.379750228168898085e-02 -5.347523419980438307e-03
9.096615900000001531e+00 1.090418401813891705e+03 1.953206404188599990e-02 -3.709149281387868428e-03 1.650117252360636222e+00 1.752973293447582126e+00 1.143307425321246074e-01 3.778835678167230538e-02 1.095345052420000076e+10 2.086808227720000029e+09 4.348099216125416611e+00 5.014640447496306663e+00 9.516651220655090171e+00 5.857277187149999564e-01 5.847446280529999818e-01 1.514274302690516993e+00 -4.280395488900000345e+01 4.164675726191850030e-02 2.558060360236854257e-03
1.085691582000000110e+01 1.012810877136069962e+03 1.000180897052877771e-01 4.039888827547548009e-03 1.543562607302232159e+00 1.698046761724032239e+00 2.965171479240816255e-01 6.874189740782436775e-02 1.016250274789999962e+10 1.902067135509999990e+09 3.803451137301626428e+00 4.668894895179617421e+00 7.931180731437075693e+00 5.939147863889999712e-01 5.245650234249999988e-01 1.516314782763169555e+00 -3.590939731059999929e+01 1.391545370950847960e-01 8.224810550055342354e-03
1.261609439999999971e+01 9.443430871352192071e+02 1.591934098463909930e-01 1.266967622074458184e-02 1.410586242128376133e+00 1.663486164567588022e+00 5.089965171794268439e-01 1.020891567374010017e-01 9.683211777170000076e+09 1.785633828869999886e+09 3.166089300037172816e+00 4.223090405619104537e+00 6.108492575905666300e+00 5.913668887230000282e-01 4.598905021640000146e-01 1.486422629044127586e+00 -2.573682825819999920e+01 2.080671533450658139e-01 1.120079352741078053e-02
1.437782148000000149e+01 9.029109319896817851e+02 2.592624923277252469e-01 2.249241013246860293e-02 1.274062942087830219e+00 1.638899192041014086e+00 7.689545357048064300e-01 9.327123443836014827e-02 9.337642400860000610e+09 1.709739599880000114e+09 2.624157074526590083e+00 3.905136660545777794e+00 4.704036501622031352e+00 5.954269862909999933e-01 4.070510537290000230e-01 1.475092814775393002e+00 -1.892689441370000125e+01 3.163790140788192429e-01 1.673884475111178313e-02
1.584575748000000139e+01 8.786310873771578827e+02 3.279447341362248247e-01 3.109929274543836442e-02 1.176155906425355946e+00 1.630922707387464143e+00 9.527173878056256484e-01 9.790169398527048816e-02 9.374648500680000305e+09 1.739422962509999990e+09 2.202982327726036083e+00 3.659243290426765327e+00 3.742514095884021508e+00 6.126974997490000074e-01 3.636300070749999835e-01 1.429549343813967921e+00 -1.427625253639999947e+01 3.933961335157674655e-01 2.318158117441020474e-02
