1
1  40
 0.0000e+00	 5.3800e+00	 1.0000e+02	 1.0000e+00	;
 2.0525e+00	 5.3987e+00	 9.9654e+01	 1.0000e+00	;
 4.8356e+00	 5.4755e+00	 9.5224e+01	 1.0000e+00	;
 5.5376e+00	 5.5026e+00	 9.3168e+01	 1.0000e+00	;
 6.4848e+00	 5.5432e+00	 9.0037e+01	 1.0000e+00	;
 7.6711e+00	 5.5996e+00	 8.7196e+01	 1.0000e+00	;
 9.0904e+00	 5.6738e+00	 8.2811e+01	 1.0000e+00	;
 1.0732e+01	 5.7659e+00	 7.6282e+01	 1.0000e+00	;
 1.2590e+01	 5.8744e+00	 6.8760e+01	 1.0000e+00	;
 1.4650e+01	 5.9943e+00	 6.0693e+01	 1.0000e+00	;
 1.6899e+01	 6.1173e+00	 5.2937e+01	 1.0000e+00	;
 1.9327e+01	 6.2314e+00	 4.6398e+01	 1.0000e+00	;
 2.1916e+01	 6.3198e+00	 4.1241e+01	 1.0000e+00	;
 2.4653e+01	 6.3619e+00	 3.7318e+01	 1.0000e+00	;
 2.7521e+01	 6.3329e+00	 3.4284e+01	 1.0000e+00	;
 3.0501e+01	 6.2049e+00	 3.2075e+01	 1.0000e+00	;
 3.3578e+01	 5.9474e+00	 3.0740e+01	 1.0000e+00	;
 3.6730e+01	 5.5544e+00	 3.0241e+01	 1.0000e+00	;
 3.9941e+01	 5.1712e+00	 2.9804e+01	 1.0000e+00	;
 4.3190e+01	 4.8221e+00	 2.9320e+01	 1.0000e+00	;
 4.6460e+01	 4.5051e+00	 2.8815e+01	 1.0000e+00	;
 4.9729e+01	 4.2190e+00	 2.8304e+01	 1.0000e+00	;
 5.2978e+01	 3.9621e+00	 2.7802e+01	 1.0000e+00	;
 5.6187e+01	 3.7325e+00	 2.7320e+01	 1.0000e+00	;
 5.9337e+01	 3.5271e+00	 2.6862e+01	 1.0000e+00	;
 6.2411e+01	 3.3426e+00	 2.6432e+01	 1.0000e+00	;
 6.5388e+01	 3.1739e+00	 2.5999e+01	 1.0000e+00	;
 6.8251e+01	 3.0167e+00	 2.5548e+01	 1.0000e+00	;
 7.0983e+01	 2.8675e+00	 2.5124e+01	 1.0000e+00	;
 7.3568e+01	 2.7215e+00	 2.4787e+01	 1.0000e+00	;
 7.5990e+01	 2.5722e+00	 2.4610e+01	 1.0000e+00	;
 7.8234e+01	 2.4206e+00	 2.4610e+01	 1.0000e+00	;
 8.0287e+01	 2.2772e+00	 2.4610e+01	 1.0000e+00	;
 8.2137e+01	 2.1280e+00	 2.4610e+01	 1.0000e+00	;
 8.3773e+01	 1.9685e+00	 2.4610e+01	 1.0000e+00	;
 8.5184e+01	 1.8002e+00	 2.4610e+01	 1.0000e+00	;
 8.6363e+01	 1.6092e+00	 2.4610e+01	 1.0000e+00	;
 8.7302e+01	 1.3927e+00	 2.4610e+01	 1.0000e+00	;
 8.7996e+01	 1.1440e+00	 2.4610e+01	 1.0000e+00	;
 8.8632e+01	 9.6599e-01	 2.4610e+01	 1.0000e+00	;
